,id,name,type,count,experiment
0,f9c65c3a-beef-4102-bff9-f58cfeb2ef57,audios/random/xxzmx3db.mp3,human,252,random
1,4faca261-c265-4447-999e-94a03fa77bf4,audios/random/2gifcrf3.mp3,genai,252,random
2,b939a51d-7e0d-47d7-be5e-2f96cbe1df24,audios/random/vc0afghx.mp3,human,252,random
3,951128f0-481e-4622-8122-0ad34dd3da67,audios/default-pair/default.mp3,genai,629,default
4,e691eafa-18a3-4c6b-ab77-129b86499a69,audios/default-pair/default1.mp3,human,629,default
5,8a75a88c-e7d3-423b-81db-393e0881dbc8,audios/rq1/par8/g1jkyftb.mp3,genai,126,rq1
6,8d490510-f9b1-41f8-bac1-001f15c40004,audios/rq1/par8/oiiosevh.mp3,human,126,rq1
7,b49307c7-7361-40a5-ae3f-045f0de9b93b,audios/rq1/par2/mu0n03zr.mp3,human,126,rq1
8,ce97972b-2251-46b3-a550-9fa40b9191ac,audios/rq1/par2/okch36rd.mp3,genai,126,rq1
9,44c7857c-c923-4d3f-b0dd-3c55c93ec746,audios/rq1/par5/uc35a8er.mp3,human,125,rq1
10,8cad00ed-d4cb-4021-af4e-c6534e577edf,audios/rq1/par5/zn5cz600.mp3,genai,125,rq1
11,98074955-72cc-4053-8ad2-8fadafba076e,audios/random/0r9rye39.mp3,human,251,random
12,78880133-5e93-46f0-ace9-3f81b4ab13c7,audios/rq1/par1/5q92om02.mp3,genai,125,rq1
13,869e5a0a-bb64-49a6-b30c-12df5b502a8b,audios/rq1/par1/hxc2k15l.mp3,human,125,rq1
14,0d9de6d7-3c0f-4722-9b7e-ceb1b9af355c,audios/rq1/par4/amsg72l5.mp3,human,126,rq1
15,976c8808-b736-4e95-842a-627300595346,audios/rq1/par4/jfxaxuvc.mp3,genai,126,rq1
16,4ba36f53-cf1e-4db8-9c64-eebb16083465,audios/rq1/par10/6a74vba1.mp3,human,126,rq1
17,9267c108-35e2-417f-90fe-9ab91dfa087d,audios/rq1/par10/123m509s.mp3,genai,126,rq1
18,089039ca-24dd-40a4-963c-d38337c28f38,audios/random/6c22xps1.mp3,genai,251,random
19,2a1f3edc-6747-4024-8164-6c607435d621,audios/random/55c972wg.mp3,human,251,random
20,36647f37-da24-45ce-8105-d508c78f54e8,audios/random/ps97lti8.mp3,genai,252,random
21,975e0a7d-294c-4e99-a931-4877ce84690a,audios/random/rycsunu2.mp3,human,252,random
22,23dd2add-4477-42c6-9c5b-7c43b28e1f5b,audios/rq1/par3/3kuhna98.mp3,human,126,rq1
23,73ab0c96-4367-46cc-95bf-e7f3900ec14a,audios/rq1/par3/7s3o4ys7.mp3,genai,126,rq1
24,069532c2-14ae-4d1a-8af3-d8fd46d1d38a,audios/rq1/par7/2dyp2m8k.mp3,human,126,rq1
25,536ef3cf-8a1e-48a7-970f-fa212ed27c0b,audios/rq1/par9/bzwu2027.mp3,genai,126,rq1
26,a189f4a7-0553-4bc8-9724-9210d4479d1e,audios/rq1/par9/0pce8u6v.mp3,human,126,rq1
27,3bad1d9c-d654-4f23-91f4-f70832fab800,audios/rq1/par6/l11vtp2a.mp3,genai,126,rq1
28,4c9ca3b7-a10c-431b-84a3-cf40542a0479,audios/rq1/par6/6sdqefhc.mp3,human,126,rq1
29,cea77531-4a04-4621-88b0-d6ce2eeed4f7,audios/rq1/par7/znxd2wka.mp3,genai,126,rq1
30,149865c9-6c79-4edb-8f5c-e67e467e8d0e,audios/random/emkwtysd.mp3,genai,251,random
31,772b441d-d4b7-4f9b-9004-df324f84401a,audios/random/0y7wn4cu.mp3,genai,252,random
