,uuid,language,age,practical_experience,formal_experience,knows_ai_music
0,f7e445e4-3932-4d78-8fa3-9e048c3d93f8,portuguese,28.0,3.0,0.0,False
1,ca99038e-2b19-4f17-a20c-7e4dcfb666c3,,,,,False
2,de094496-ea22-42a8-b3d7-f32d21abdfae,,,,,False
3,4d0a7e46-f950-45f3-bb1c-8f151c552492,portuguese,19.0,1.0,0.0,False
4,07df4321-2911-4325-baca-b7354cc64ed2,portuguese,24.0,3.0,1.0,True
5,a7cccb49-bcc9-41b5-bced-abd9cfaeb9a6,portuguese,20.0,0.0,0.0,True
6,a2407d61-36a7-49e6-bd73-f6ecf950dd64,portuguese,26.0,1.0,1.0,True
7,93258826-c68e-450a-88ab-67f22d26b3c7,portuguese,20.0,0.0,1.0,False
8,c92f64fc-4227-43e7-bf17-71dc1f32453b,portuguese,20.0,1.0,1.0,False
9,1277cc3a-403c-4c7c-a79d-49577c787f01,portuguese,30.0,0.0,0.0,False
10,0872036c-547a-4221-9e96-e040f77d353a,portuguese,19.0,0.0,0.0,True
11,0399a6cc-eccf-4a27-8699-3b63ed6e65d9,portuguese,63.0,0.0,0.0,False
12,a2bc24e9-f1e8-4781-856d-bf8c16bf9f16,,,,,False
13,6c7b5fc8-b01e-482b-b1ed-0a3674f67482,portuguese,22.0,3.0,2.0,False
14,e3ba6a69-39e6-4faf-ae97-490707d48c09,portuguese,29.0,3.0,3.0,True
15,90352dd1-590c-47bd-b87c-d413ace26ef8,,,,,False
16,41679f88-e298-4d35-80e6-e0c1d66e7525,portuguese,14.0,0.0,1.0,True
17,1bfce5a0-9029-47cc-af0f-423dd66bbb30,,,,,False
18,deeab0e6-ad56-4510-95f4-897464951a82,,,,,False
19,28e643ea-6a54-4fcd-9282-13a196be7e36,portuguese,21.0,0.0,0.0,True
20,edc85231-b42c-4cc9-ac8d-c4b55cdcf75b,,,,,False
21,5d2ca4a5-b72f-4045-b5bd-955f5b506adf,portuguese,21.0,1.0,0.0,False
22,00a8319b-9b19-42f5-8767-e004a03dab40,portuguese,23.0,2.0,2.0,True
23,ee995fcc-1b1c-4013-9e47-a72cb9cefa50,portuguese,41.0,3.0,2.0,True
24,164d64e8-edb5-4c64-8765-4c8680d8e58f,portuguese,43.0,0.0,0.0,False
25,18c1f3d5-5511-41b3-9bef-919e5a4bc284,,,,,False
26,1741009d-fff2-4443-b000-423b1816be33,,,,,False
27,4fd3b164-5f98-4bed-9508-18e4d217724f,portuguese,21.0,3.0,0.0,False
28,b7e78a93-bfb4-4b99-9b10-c0a407099ea8,portuguese,25.0,0.0,0.0,False
29,866ee2ae-2755-4cc0-9b07-ed46ce3e5d10,portuguese,50.0,0.0,0.0,False
30,b5f63d95-5d81-452c-97e1-a8cece3bd0f0,portuguese,21.0,0.0,3.0,True
31,dba4191c-a8a1-45b8-a44e-8dde0f4d68fd,portuguese,24.0,0.0,0.0,True
32,071453b9-1989-4d90-ac23-362b061fa2fe,,,,,False
33,cb49a67b-ea7d-4eed-9704-378383382741,portuguese,70.0,2.0,0.0,False
34,f6a19e89-cd6a-4bd6-a7a7-e9eead28189d,,,,,False
35,cb061d1f-8e43-4e12-b2ba-502891697fc4,portuguese,58.0,0.0,0.0,False
36,a101e4fc-d845-4a0f-b3b8-8751176294ac,portuguese,54.0,0.0,0.0,False
37,67d95bcf-65b4-4bfc-b1e4-daa647027cc3,portuguese,50.0,0.0,0.0,False
38,0e60551b-178e-48c9-8c89-4e3553a8440e,,,,,False
39,e42bf4d1-b3a0-48d4-8c86-edb73288391a,,,,,False
40,b1b26526-2a70-40ee-ad85-75e6e03e299a,,,,,False
41,147fc5a2-867a-4c90-a67e-2b3c5702b2be,portuguese,19.0,0.0,0.0,True
42,ea864cd5-d733-4a7a-9228-15e8442e002a,,,,,False
43,421cf5ce-6714-4b7f-b3b9-554120580c24,portuguese,19.0,0.0,0.0,True
44,8450bc9b-e4d5-4a83-a973-4362f9b996d3,portuguese,20.0,1.0,1.0,True
45,004c1238-c8fe-4acb-ac77-336997938d2c,,,,,False
46,de44d960-863f-491e-a44b-f1877a185020,english,30.0,3.0,1.0,False
47,d1f34a69-4309-4ffa-86d6-3efe9c3fa1ee,,,,,False
48,b2da47e7-ee60-42f5-ad30-b33cce3ba8b8,,,,,False
49,ac8a07c9-b101-4d02-93e4-7bfd4078206d,other,22.0,0.0,0.0,True
50,f1c683b0-f275-4a9f-b90d-ebcc46ed4861,portuguese,22.0,1.0,0.0,False
51,0f65292a-52f3-4310-adb0-1f1b82922d66,portuguese,19.0,1.0,0.0,True
52,8cacade7-6ba1-435f-b73c-2ab0acbcb767,portuguese,21.0,2.0,0.0,False
53,3d2edf66-acea-4b0d-905d-cb7f6bbd41e4,portuguese,61.0,0.0,0.0,False
54,ac2faf5d-8e40-4e5c-8c00-6f1b96d6853d,portuguese,24.0,1.0,0.0,False
55,7353c427-57d9-4fb5-9fcb-a3687a3c91ce,portuguese,21.0,1.0,1.0,False
